"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\http\chatApi.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\http\index.ts", "TypeScript", 15, 0, 0, 0, 0, 6, 21
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\http\postsApi.ts", "TypeScript", 41, 0, 0, 0, 0, 5, 46
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\http\profileApi.ts", "TypeScript", 46, 0, 0, 0, 0, 6, 52
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\index.scss", "SCSS", 0, 0, 23, 0, 0, 4, 27
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\index.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 2, 16
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\mock\emojis.ts", "TypeScript", 1334, 0, 0, 0, 0, 1, 1335
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\CallbacksTypes.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\CommentModel.ts", "TypeScript", 9, 0, 0, 0, 0, 1, 10
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\Http.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\LoadingStatus.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\PostModel.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\ProfileOwnerModel.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\models\State.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\routes.ts", "TypeScript", 33, 0, 0, 0, 0, 5, 38
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\store\hooks.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\store\index.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\store\slices\chatSlice.ts", "TypeScript", 12, 0, 0, 0, 10, 3, 25
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\store\slices\profileSlice.ts", "TypeScript", 60, 0, 0, 0, 0, 7, 67
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\store\slices\userSlice.ts", "TypeScript", 90, 0, 0, 0, 1, 8, 99
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\styles\variables.scss", "SCSS", 0, 0, 6, 0, 1, 2, 9
"Total", "-", 1961, 1486, 1019, 22, 78, 464, 5030
